,accuracy,f1,precision,recall,model
0,0.0707,0.049170625861851266,0.0718919632925775,0.061632847179597806,model_ADAM_20
1,0.1959,0.07777294180249741,0.1980505274845944,0.3894999330830387,model_ADAM_LT_20
2,0.1,0.03747351717019261,0.10195635917540995,0.03912957220548443,model_SGD_20
3,0.0974,0.01776237804322057,0.1,0.009746822775943161,model_SGD_LT_20
4,0.1809,0.0810557696193042,0.18213872984293636,0.32124897509035544,model_ewc_20
5,0.1502,0.08193900417175981,0.14596420091622087,0.11772555970007592,model_ewc_LT_20
6,0.1978,0.07843701996823779,0.1994874960551293,0.37046544467408793,model_SI_20
7,0.1137,0.07899632909218914,0.114367364129124,0.14649043956550598,model_SI_LT_20
8,0.0977,0.018554784223041618,0.10030612244897959,0.069857301892521,model_MAS_20
9,0.0984,0.0455735772730375,0.08961107333393324,0.10415014435884773,model_MAS_LT_20
10,0.8072,0.7800296090065424,0.8065816972566479,0.785213041357735,model_replay_20
11,0.795,0.7842050623781667,0.7917979125123175,0.8336761025952386,model_replay_LT_20
