,accuracy,f1,precision,recall,model
0,0.082,0.05962451518054723,0.08194217041397718,0.07774103386549487,model_ADAM_22
1,0.2159,0.11201745210668639,0.2193366599700209,0.3517405955502282,model_ADAM_LT_22
2,0.0831,0.059353270780232295,0.08070335581871177,0.056069843854356025,model_SGD_22
3,0.098,0.019192522561435745,0.10061161630976827,0.0733946627036588,model_SGD_LT_22
4,0.2,0.08371598572164232,0.2020385984766376,0.20027403923955073,model_ewc_22
5,0.0918,0.0547649659822134,0.0918448890158697,0.07003212665132855,model_ewc_LT_22
6,0.1991,0.08188542078288334,0.20108819097365985,0.3321672860992416,model_SI_22
7,0.08,0.022169358876601427,0.08905466094968328,0.021872421424918458,model_SI_LT_22
8,0.1001,0.022557158699057812,0.10242065989391351,0.1807751906864713,model_MAS_22
9,0.0838,0.05937568153088209,0.08470074157366632,0.05894351084468663,model_MAS_LT_22
10,0.7959,0.7714952064523156,0.7944036628510689,0.7832153422555014,model_replay_22
11,0.8479,0.8452814046528753,0.8463763769343757,0.8560590820277543,model_replay_LT_22
