,rank,rank_mass,auc,model
0,0.8,0.93814933,0.8400000000000001,iter_21
1,0.8,0.9797271,0.8800000000000001,iter_21
2,0.9,0.98886627,0.94,iter_21
3,0.7,0.83175516,0.5800000000000001,iter_21
4,0.9,0.9057799,0.8400000000000001,iter_21
5,0.7,0.953832,0.6599999999999999,iter_21
6,0.5,0.8534811,0.42,iter_21
7,0.8,0.94069344,0.9,iter_21
8,0.7,0.9267329,0.7,iter_21
9,0.9,0.96654797,0.9000000000000001,iter_21
10,1.0,0.98036355,1.0,iter_21
11,0.8,0.88850546,0.86,iter_21
12,0.8,0.89977133,0.78,iter_21
13,0.8,0.93687886,0.78,iter_21
14,0.9,0.9250396,0.9,iter_21
15,0.8,0.92438483,0.86,iter_21
16,0.8,0.9649353,0.86,iter_21
17,0.9,0.9538936,0.94,iter_21
18,0.9,0.89131886,0.86,iter_21
19,0.9,0.9640308,0.8800000000000001,iter_21
20,0.9,0.9491902,0.98,iter_21
21,0.8,0.9148469,0.72,iter_21
22,0.8,0.93927,0.78,iter_21
23,0.8,0.8892896,0.7200000000000001,iter_21
24,0.8,0.9516621,0.8,iter_21
25,0.9,0.92640775,0.8400000000000001,iter_21
26,1.0,0.96331924,1.0,iter_21
27,0.8,0.8930655,0.92,iter_21
28,0.9,0.9227449,0.92,iter_21
29,0.8,0.9495028,0.86,iter_21
30,0.7,0.9433531,0.72,iter_21
31,0.7,0.86166054,0.7,iter_21
32,0.7,0.9269862,0.74,iter_21
33,0.7,0.8821984,0.6200000000000001,iter_21
34,0.9,0.9696386,0.9,iter_21
35,0.7,0.9387133,0.7,iter_21
36,0.9,0.91681755,0.9,iter_21
37,0.9,0.9381031,0.96,iter_21
38,0.7,0.84538645,0.6000000000000001,iter_21
39,0.8,0.959207,0.88,iter_21
40,0.8,0.80880845,0.72,iter_21
41,0.9,0.9156374,0.8400000000000001,iter_21
42,0.7,0.84934926,0.66,iter_21
43,1.0,0.92819184,1.0,iter_21
44,0.8,0.9528133,0.74,iter_21
45,1.0,0.942548,1.0,iter_21
46,0.7,0.8811811,0.7,iter_21
47,0.9,0.94821036,0.96,iter_21
48,0.7,0.9540396,0.78,iter_21
49,0.9,0.917012,0.8600000000000001,iter_21
50,0.7,0.84823966,0.5800000000000001,iter_21
51,0.6,0.74403745,0.58,iter_21
52,0.7,0.9487087,0.76,iter_21
53,0.8,0.8013188,0.72,iter_21
54,0.9,0.8728991,0.8400000000000001,iter_21
55,0.9,0.9469732,0.96,iter_21
56,0.8,0.90490335,0.76,iter_21
57,0.9,0.95142925,0.98,iter_21
58,0.8,0.9340946,0.9,iter_21
59,0.7,0.77213764,0.66,iter_21
60,0.9,0.9472649,0.9,iter_21
61,0.8,0.88433915,0.8,iter_21
62,0.8,0.96773475,0.8,iter_21
63,0.8,0.9555198,0.8400000000000001,iter_21
64,0.9,0.92356396,0.8600000000000001,iter_21
65,1.0,0.98323894,1.0,iter_21
66,0.9,0.97465104,0.96,iter_21
67,0.9,0.9377235,0.92,iter_21
68,0.7,0.8787344,0.72,iter_21
69,0.8,0.94656,0.88,iter_21
70,0.8,0.9297478,0.8200000000000001,iter_21
71,0.8,0.8510381,0.78,iter_21
72,0.9,0.93264616,0.8800000000000001,iter_21
73,1.0,0.98177546,1.0,iter_21
74,0.9,0.97664934,0.94,iter_21
75,0.6,0.8441108,0.54,iter_21
76,0.9,0.940386,0.9,iter_21
77,0.8,0.9579399,0.84,iter_21
78,0.6,0.8754352,0.6000000000000001,iter_21
79,0.8,0.8713175,0.84,iter_21
80,0.9,0.95234543,0.98,iter_21
81,0.9,0.98274183,0.94,iter_21
82,0.8,0.92716265,0.78,iter_21
83,0.9,0.9032436,0.9,iter_21
84,0.7,0.8652675,0.74,iter_21
85,0.8,0.82437664,0.7000000000000001,iter_21
86,0.9,0.9617347,0.92,iter_21
87,0.8,0.87790036,0.78,iter_21
88,0.8,0.8926998,0.72,iter_21
89,0.8,0.9416901,0.7600000000000001,iter_21
