,accuracy,f1,precision,recall,model
0,0.754,0.750591715680458,0.7541050321112903,0.7553957461443558,Upper_Bound_22
1,0.224,0.15763190113939773,0.2343557352715028,0.21209549665788577,model_ADAM_22
2,0.28,0.1954536718274368,0.28346594148803994,0.17825935654770447,model_ADAM_LT_22
3,0.162,0.13251699332261685,0.157243903209488,0.19703154007188844,model_SGD_22
4,0.154,0.1284658575617214,0.15231214690062306,0.12543575422744432,model_SGD_LT_22
5,0.274,0.17942569551721943,0.27759208932032486,0.16390240469906278,model_ewc_22
6,0.254,0.16362347236259261,0.2621753216336702,0.1471671703662116,model_ewc_LT_22
7,0.328,0.23624515020507703,0.3342673410627581,0.22037675492590109,model_SI_22
8,0.264,0.15135436416549158,0.2650183912461937,0.279640962872297,model_SI_LT_22
9,0.194,0.1548923500138329,0.19109553483617064,0.14006059453458633,model_MAS_22
10,0.21,0.10982158908326874,0.2049887932112048,0.14168776183920295,model_MAS_LT_22
11,0.874,0.8701570995940779,0.8736736961209687,0.8871302206787648,model_replay_22
12,0.868,0.8634282220102456,0.8675764173329064,0.8840242805092243,model_replay_LT_22
