,accuracy,f1,precision,recall,model
0,0.752,0.7474238363476158,0.7526413393543346,0.7515006484577587,Upper_Bound_21
1,0.286,0.19714335307468084,0.28263454873967003,0.17237283991368824,model_ADAM_21
2,0.246,0.13917465783930943,0.24592687741844857,0.17390091459240392,model_ADAM_LT_21
3,0.112,0.08992193425611775,0.10808453363886941,0.09735042735042734,model_SGD_21
4,0.158,0.1153912475075419,0.156238111232395,0.12767654709441384,model_SGD_LT_21
5,0.254,0.1447907278970761,0.2529199898415373,0.1601201550387597,model_ewc_21
6,0.244,0.14707235383269815,0.24897051537077114,0.2021086408508072,model_ewc_LT_21
7,0.284,0.20538663343916386,0.29250187534214633,0.20175009148731596,model_SI_21
8,0.21,0.17555886065650264,0.21382642753251585,0.16710563038594345,model_SI_LT_21
9,0.102,0.08551107354790122,0.10050614546878187,0.19388158208660106,model_MAS_21
10,0.16,0.11765213837909234,0.1673721484407455,0.11181103259070779,model_MAS_LT_21
11,0.872,0.8684545392757391,0.8723127079493613,0.88924322945728,model_replay_21
12,0.876,0.872713906655074,0.8753585225038807,0.8848826078523697,model_replay_LT_21
