,accuracy,f1,precision,recall,model
0,0.2065,0.08917963495926093,0.20834128350868344,0.31995143456605424,model_ADAM_20
1,0.2208,0.11055772223910369,0.22358871617550533,0.4820023197792708,model_ADAM_LT_20
2,0.2003,0.07786661484921095,0.20221736526343217,0.42334901687922627,model_SGD_20
3,0.2122,0.10355032608223738,0.21472940156436585,0.43916337888101253,model_SGD_LT_20
4,0.1933,0.06600326991397366,0.1949785152644262,0.1394486587120665,model_ewc_20
5,0.098,0.01785063752276867,0.1,0.0098,model_ewc_LT_20
6,0.1933,0.06521185797287818,0.19498761658421232,0.03928018580721937,model_SI_20
7,0.098,0.01785063752276867,0.1,0.0098,model_SI_LT_20
8,0.0993,0.021594888609881794,0.10191385172611116,0.16692197360872058,model_MAS_20
9,0.098,0.01785063752276867,0.1,0.0098,model_MAS_LT_20
10,0.8988,0.898645997897258,0.8990756074754817,0.9011154141070641,model_replay_20
11,0.8531,0.847663989541435,0.8518167790715847,0.8678943983641656,model_replay_LT_20
