,accuracy,f1,precision,recall,model
0,0.199,0.08155428196408146,0.2009889542853351,0.1387013372254988,model_ADAM_22
1,0.198,0.0736145971293676,0.1998036588937409,0.22212281392960911,model_ADAM_LT_22
2,0.2071,0.09140090945818924,0.20935557724753098,0.23645383109794144,model_SGD_22
3,0.2075,0.0936118129573507,0.20967955575674405,0.6335937901294539,model_SGD_LT_22
4,0.1925,0.06499903036884769,0.1941164020733318,0.0391518170607538,model_ewc_22
5,0.098,0.01785063752276867,0.1,0.0098,model_ewc_LT_22
6,0.19,0.06765245223287535,0.19176691094319503,0.041917928197173736,model_SI_22
7,0.098,0.01785063752276867,0.1,0.0098,model_SI_LT_22
8,0.1036,0.028783356810302658,0.10565764631843928,0.18359335774351393,model_MAS_22
9,0.098,0.01785063752276867,0.1,0.0098,model_MAS_LT_22
10,0.8993,0.8995295673923582,0.8994528070939178,0.9020781483184075,model_replay_22
11,0.8468,0.8430114098938454,0.8457744096570433,0.8544152265680613,model_replay_LT_22
