,accuracy,f1,precision,recall,model
0,0.1108,0.07468008372501705,0.11089587912241061,0.16665096390593856,model_ADAM_21
1,0.196,0.06504844238097439,0.18998917748917749,0.03924344881820122,model_ADAM_LT_21
2,0.0832,0.07324514909927854,0.08238115484745735,0.12325885892492276,model_SGD_21
3,0.1916,0.06393901364520518,0.18571428571428572,0.038654918568332995,model_SGD_LT_21
4,0.1952,0.06482277744471486,0.18912337662337664,0.039125492607592946,model_ewc_21
5,0.0732,0.0619473053509219,0.07244593298544563,0.09838754196269525,model_ewc_LT_21
6,0.1964,0.0652054649695277,0.19036796536796538,0.03934356944456024,model_SI_21
7,0.0912,0.06357873207397968,0.09215446448874334,0.07500025275545927,model_SI_LT_21
8,0.1884,0.06259181784010333,0.18264790764790764,0.03777191470686179,model_MAS_21
9,0.1284,0.09338007695255844,0.12943906719752754,0.13884435823271693,model_MAS_LT_21
10,0.7452,0.7447703999099069,0.7452898725000517,0.747150809875048,model_replay_21
11,0.744,0.7431305784329196,0.7441562042491306,0.7457031250110655,model_replay_LT_21
