,accuracy,f1,precision,recall,model
0,0.1332,0.0925995098211338,0.13168246361405092,0.1191027610310585,model_ADAM_11
1,0.1896,0.06295894764410581,0.18374819624819624,0.0380154787070003,model_ADAM_LT_11
2,0.108,0.09469888888801802,0.10887270985980635,0.09364778976803904,model_SGD_11
3,0.1808,0.059943097229497436,0.17521645021645021,0.036157254768675776,model_SGD_LT_11
4,0.1884,0.06242829428469769,0.1823953823953824,0.03765994529968362,model_ewc_11
5,0.1156,0.10613439095246287,0.11488058097354781,0.10631443601678263,model_ewc_LT_11
6,0.1884,0.06269949665560906,0.182521645021645,0.03789772519210496,model_SI_11
7,0.1156,0.09849817829331961,0.11438815861948189,0.13394172184397665,model_SI_LT_11
8,0.1812,0.06009767896999483,0.1756132756132756,0.03626258105944349,model_MAS_11
9,0.094,0.07439009005344296,0.09432867821737231,0.11313085698238681,model_MAS_LT_11
10,0.7012,0.7000955325383372,0.7004044218148799,0.7006363518814919,model_replay_11
11,0.7088,0.7077246771015253,0.7078021793615639,0.7089344399509557,model_replay_LT_11
