,accuracy,f1,precision,recall,model
0,0.19,0.14609884791883665,0.18418819815470153,0.1844599216085566,model_ADAM_12
1,0.204,0.17663233500197406,0.20857974892850098,0.17569342731651777,model_ADAM_LT_12
2,0.196,0.15168576206654416,0.1998502798179607,0.16474164179561146,model_SGD_12
3,0.178,0.15130685357264634,0.17489050362964415,0.17997571546016192,model_SGD_LT_12
4,0.192,0.06394557823129252,0.1922705314009662,0.03838325652841782,model_ewc_12
5,0.104,0.018840579710144925,0.1,0.0104,model_ewc_LT_12
6,0.194,0.0645929450478594,0.19412238325281803,0.03877198316557584,model_SI_12
7,0.104,0.018840579710144925,0.1,0.0104,model_SI_LT_12
8,0.186,0.06196165601555988,0.18639291465378421,0.037192595081521306,model_MAS_12
9,0.104,0.018840579710144925,0.1,0.0104,model_MAS_LT_12
10,0.634,0.6242610323737864,0.6347707824112605,0.6199360151740212,model_replay_12
11,0.796,0.7841353868799155,0.7959251344722131,0.7918009181920921,model_replay_LT_12
