,accuracy,f1,precision,recall,model
0,0.6577,0.6588151065462992,0.6652931528529125,0.8284583756549324,Upper_Bound_18
1,0.4688,0.413696142251022,0.46225356522078076,0.5676246911019246,model_ADAM_18
2,0.1934,0.07006352788611778,0.19514816121303605,0.056991156283099254,model_ADAM_LT_18
3,0.5653,0.5276323537973269,0.560565263939183,0.5638530929296668,model_SGD_18
4,0.2076,0.09909313108847784,0.2094962281093639,0.5398434425230392,model_SGD_LT_18
5,0.1942,0.06777288060361639,0.19588671158749896,0.04147929000384455,model_ewc_18
6,0.4272,0.35549652016408156,0.42241026556814304,0.47106133322948107,model_ewc_LT_18
7,0.1933,0.06971877165715443,0.19500186209128115,0.043386761331038436,model_SI_18
8,0.372,0.2924496890274117,0.37196079367715124,0.43966682853590944,model_SI_LT_18
9,0.2058,0.09279896316876289,0.20774448735187862,0.6109125714538262,model_MAS_18
10,0.4719,0.39540360948040837,0.4652603792086015,0.5490392894252663,model_MAS_LT_18
11,0.7661,0.7505173152003339,0.7593255447315614,0.8004511021886724,model_replay_18
12,0.858,0.8595275372714403,0.8551931379946509,0.8834371226697645,model_replay_LT_18
