,accuracy,f1,precision,recall,model
0,0.6851,0.6809536030369265,0.69572830121204,0.8349392542360963,Upper_Bound_11
1,0.3562,0.2773020199188569,0.3543370725002865,0.48761755960272213,model_ADAM_11
2,0.1938,0.06866570984603566,0.19537284231441202,0.14310940998372118,model_ADAM_LT_11
3,0.5008,0.47175389521361255,0.49429989468004604,0.5575471428999185,model_SGD_11
4,0.2192,0.12100256269903067,0.2203022553496623,0.4470183370241414,model_SGD_LT_11
5,0.1949,0.06633953859164372,0.1966100283496542,0.10640951759906583,model_ewc_11
6,0.3933,0.3209121321910327,0.39366744435893675,0.4971220422947775,model_ewc_LT_11
7,0.1896,0.0642877914753011,0.1911868700508148,0.08827274484987399,model_SI_11
8,0.4589,0.3780293902287371,0.4529740480169891,0.5213408831746813,model_SI_LT_11
9,0.2402,0.1460658505686956,0.24286036294987415,0.514401401328014,model_MAS_11
10,0.561,0.5156756923899124,0.557670655709186,0.6019878502800876,model_MAS_LT_11
11,0.7915,0.7738463012353182,0.7906156215561458,0.7935501336202311,model_replay_11
12,0.8571,0.8605319474941862,0.8548389657405838,0.8928950509987026,model_replay_LT_11
