,accuracy,f1,precision,recall,model
0,0.6932,0.6958711267731825,0.6972138075866918,0.8406572554043406,Upper_Bound_65
1,0.4496,0.3973518276252842,0.4494266886641995,0.5435486584568318,model_ADAM_65
2,0.1872,0.06492630373652666,0.18880598914335395,0.08182415677298004,model_ADAM_LT_65
3,0.5005,0.45849476583635146,0.4980829669573265,0.5350815819964254,model_SGD_65
4,0.2113,0.10043757571651209,0.21311101271909108,0.5493601233011047,model_SGD_LT_65
5,0.194,0.06821641966430654,0.1957027410390673,0.041915895545159045,model_ewc_65
6,0.4382,0.38379005279391676,0.43792520035646093,0.47610313544295124,model_ewc_LT_65
7,0.1926,0.06714898336260836,0.19425283859784834,0.14088506083606117,model_SI_65
8,0.4073,0.36131538883345093,0.4067436439077675,0.5716615449282216,model_SI_LT_65
9,0.2,0.08081198877157622,0.2016416424403698,0.46188714227059924,model_MAS_65
10,0.5603,0.5295517071165833,0.5593173340544245,0.5711170845034015,model_MAS_LT_65
11,0.7841,0.7676487232467973,0.7819021162180825,0.7991704924645904,model_replay_65
12,0.8488,0.8529894306323513,0.846276894896382,0.8834854299976029,model_replay_LT_65
