,accuracy,f1,precision,recall,model
0,0.6856,0.6834328732929866,0.6964501520465156,0.8432326169051487,Upper_Bound_22
1,0.4661,0.3698719266771607,0.4667869870569407,0.5127079149904857,model_ADAM_22
2,0.1923,0.07142253281290749,0.1940613579268157,0.07109718756913481,model_ADAM_LT_22
3,0.5001,0.4630420475344142,0.4968161164758572,0.5714300324457827,model_SGD_22
4,0.2581,0.17039607396654458,0.25679226834507635,0.5665525011024432,model_SGD_LT_22
5,0.195,0.06672240877005547,0.19668313718626815,0.040451004122205717,model_ewc_22
6,0.4451,0.3917671947945981,0.4372883459231969,0.4805871576585852,model_ewc_LT_22
7,0.192,0.06595253120799242,0.19362442331134777,0.0400276042290444,model_SI_22
8,0.4489,0.3612549911543491,0.4457912740193118,0.4839547432804876,model_SI_LT_22
9,0.2066,0.09582498345848857,0.20870241164562212,0.5674222485817234,model_MAS_22
10,0.5395,0.4927951284174766,0.5323569491150003,0.5521495707390744,model_MAS_LT_22
11,0.848,0.8514426238748936,0.8452459428695811,0.8788385185812398,model_replay_22
12,0.8044,0.7852478506129341,0.7997466541472391,0.8527436840204972,model_replay_LT_22
