,accuracy,f1,precision,recall,model
0,0.1136,0.020605401924083243,0.1000990099009901,0.03636363636363636,iter_18
1,0.6998,0.6935577321064914,0.705115732381466,0.7627072371896849,model_full_18
2,0.1278,0.08488717745127261,0.12303975419975073,0.11949710193656071,model_empty_18
3,0.7567,0.7642397513280383,0.7638417503159853,0.8555001172343486,empty_trained_18
4,0.707,0.7018444239561366,0.712779530484114,0.7720988642580574,model_full_trained_18
5,0.6956,0.6919571971301407,0.7057072247184336,0.8346980208802744,empty_trained_replay_18
6,0.6801,0.6808649070810517,0.6850633522208808,0.824047361912419,model_full_trained_replay_18
