,accuracy,f1,precision,recall,model
0,0.6324,0.6314305352027715,0.6321687189981967,0.6323154196537317,Upper_Bound_11
1,0.2664,0.2738437262675257,0.2657269368371153,0.3268573281818216,model_ADAM_11
2,0.202,0.10195194647111594,0.19953749998447357,0.17476635508074342,model_ADAM_LT_11
3,0.1116,0.07749237879598227,0.10966066512583365,0.11844700641822707,model_SGD_11
4,0.148,0.11513043338386042,0.14777828066617074,0.11433109562666448,model_SGD_LT_11
5,0.1856,0.0919802716215109,0.18358558986235832,0.1633423760547716,model_ewc_11
6,0.2392,0.2403056539836108,0.24013619700130814,0.3232650171082535,model_ewc_LT_11
7,0.2016,0.10543353865140133,0.19949426682536314,0.18913241727137048,model_SI_11
8,0.2612,0.25249190415859163,0.2606425462483269,0.31616957322253414,model_SI_LT_11
9,0.1252,0.10671839904780674,0.12295864491810102,0.16089495119346914,model_MAS_11
10,0.1128,0.09593155683525137,0.11229448697307017,0.10212694658007708,model_MAS_LT_11
11,0.7088,0.7075560177950106,0.7077589071107172,0.7092798956996382,model_replay_11
12,0.6996,0.6985840591703265,0.6988727638166411,0.6992277504978199,model_replay_LT_11
