,accuracy,f1,precision,recall,model
0,0.6224,0.6216792765124641,0.621642752512848,0.6233857306254281,Upper_Bound_61
1,0.2588,0.24887958692857567,0.2607646918229369,0.30652757602883574,model_ADAM_61
2,0.196,0.11788278414420403,0.1936827166971973,0.21433553425844482,model_ADAM_LT_61
3,0.146,0.13141770113245604,0.14461349991900857,0.17175531184755266,model_SGD_61
4,0.1224,0.1165784309874037,0.12147986344694126,0.12439065494495119,model_SGD_LT_61
5,0.1704,0.09615338109340563,0.16822611333525322,0.2422230946475524,model_ewc_61
6,0.2772,0.27652181371501827,0.27507790907347884,0.30223280547354536,model_ewc_LT_61
7,0.1668,0.07796449917532607,0.1645582559056613,0.16797047514591035,model_SI_61
8,0.2428,0.2327533771788321,0.24311004890543816,0.24810825788397226,model_SI_LT_61
9,0.1312,0.11258897400105275,0.13065968231031713,0.12676614658421373,model_MAS_61
10,0.1344,0.10410239790907698,0.13155334491641188,0.10610418273386493,model_MAS_LT_61
11,0.7464,0.745397880801107,0.74536009035019,0.7470976096202588,model_replay_61
12,0.7476,0.746923476512354,0.74700205198372,0.7481035209037471,model_replay_LT_61
