,accuracy,f1,precision,recall,model
0,0.06,0.045297005919313425,0.0623269576886311,0.06010104657604731,model_ADAM_20
1,0.192,0.06390322006760363,0.19194847020933978,0.038358619806670505,model_ADAM_LT_20
2,0.136,0.12623302471803138,0.1336787702591929,0.19886030868735272,model_SGD_20
3,0.182,0.06059076608375671,0.18204508856682772,0.036371637515802274,model_SGD_LT_20
4,0.194,0.06462906362878577,0.19444444444444445,0.038792620681930914,model_ewc_20
5,0.122,0.07799083269671506,0.11807006692312463,0.08572962543095312,model_ewc_LT_20
6,0.196,0.06527944511137788,0.19629629629629627,0.03918330773169483,model_SI_20
7,0.054,0.03168643358131616,0.0516143745503135,0.04834691025072656,model_SI_LT_20
8,0.178,0.05929424840233397,0.17834138486312398,0.0355925694811117,model_MAS_20
9,0.084,0.059005276974177644,0.08191721132897603,0.08053092501368364,model_MAS_LT_20
10,0.86,0.858872311653841,0.8601484049018537,0.866496195726364,model_replay_20
11,0.864,0.8597450051549664,0.8639645117579043,0.8724533418651065,model_replay_LT_20
