,accuracy,f1,precision,recall,model
0,0.094,0.05593430695982454,0.09087203962755949,0.06471830529352654,model_ADAM_94
1,0.194,0.0645929450478594,0.19412238325281803,0.03877198316557584,model_ADAM_LT_94
2,0.052,0.05650474909472808,0.05360618141719713,0.17323844798137705,model_SGD_94
3,0.182,0.06062795220894692,0.1823671497584541,0.0363925822813165,model_SGD_LT_94
4,0.192,0.06394557823129252,0.1922705314009662,0.03838325652841782,model_ewc_94
5,0.096,0.05253459633874913,0.09252814857599224,0.03934829936597502,model_ewc_LT_94
6,0.192,0.06390322006760363,0.19194847020933978,0.038358619806670505,model_SI_94
7,0.116,0.0698071392279925,0.11696296969177859,0.054089427126536506,model_SI_LT_94
8,0.182,0.06062795220894692,0.1823671497584541,0.0363925822813165,model_MAS_94
9,0.19,0.10355097646930318,0.18183947399100855,0.14135552661833978,model_MAS_LT_94
10,0.864,0.8565087576214511,0.8637026285762769,0.8827300144438232,model_replay_94
11,0.868,0.8656923396610006,0.867995862261127,0.8739916654181537,model_replay_LT_94
