,accuracy,f1,precision,recall,model
0,0.1304,0.0824853481367076,0.1300270996539279,0.11034680221569333,model_ADAM_14
1,0.1624,0.15707397693834008,0.1607880071418887,0.16570519287107485,model_ADAM_LT_14
2,0.1444,0.12282388875316494,0.14304460200460029,0.16123756403365852,model_SGD_14
3,0.1392,0.11437792107009208,0.13768037745540357,0.11563756266334775,model_SGD_LT_14
4,0.1848,0.061104269293924464,0.1786976911976912,0.03687951496388029,model_ewc_14
5,0.0968,0.01765134938001459,0.1,0.00968,model_ewc_LT_14
6,0.1876,0.062138507714711654,0.1814935064935065,0.037515607547374354,model_SI_14
7,0.0968,0.01765134938001459,0.1,0.00968,model_SI_LT_14
8,0.1664,0.05521626752670463,0.1612193362193362,0.03332641680051439,model_MAS_14
9,0.0968,0.01765134938001459,0.1,0.00968,model_MAS_LT_14
10,0.564,0.5624717043501674,0.5634574049301094,0.5668321909852103,model_replay_14
11,0.6104,0.6085719790844542,0.6089638772777854,0.6201460321961487,model_replay_LT_14
