,accuracy,f1,precision,recall,model
0,0.1664,0.1548972917851762,0.1661146595108784,0.1594264426663955,model_ADAM_22
1,0.1764,0.15856919169170838,0.17400770974618038,0.17273469958036708,model_ADAM_LT_22
2,0.134,0.10509193073964444,0.13417902709397259,0.11330060100972197,model_SGD_22
3,0.1808,0.14897617775074806,0.17629994721670575,0.20572686153992797,model_SGD_LT_22
4,0.1964,0.06589123652864434,0.1902056277056277,0.03997030041672713,model_ewc_22
5,0.0968,0.01765134938001459,0.1,0.00968,model_ewc_LT_22
6,0.1968,0.06591578828063016,0.19062049062049063,0.039958592132505175,model_SI_22
7,0.0968,0.01765134938001459,0.1,0.00968,model_SI_LT_22
8,0.19,0.06414394460451299,0.18414502164502164,0.03905837863451317,model_MAS_22
9,0.0968,0.01765134938001459,0.1,0.00968,model_MAS_LT_22
10,0.57,0.5663542520987328,0.5684999057044652,0.5673949912400642,model_replay_22
11,0.6,0.5946692648153514,0.5974570653731874,0.6036030380766383,model_replay_LT_22
