,rank,rank_mass,auc,model
0,0.8,0.9111939,0.7999999999999999,iter_18
1,0.7,0.9374013,0.72,iter_18
2,0.8,0.9316951,0.92,iter_18
3,0.8,0.87838066,0.82,iter_18
4,0.8,0.90817785,0.88,iter_18
5,0.9,0.94953376,0.94,iter_18
6,0.7,0.9432255,0.7,iter_18
7,0.7,0.95819396,0.8200000000000001,iter_18
8,0.8,0.9685725,0.9,iter_18
9,0.9,0.9034635,0.92,iter_18
10,0.7,0.84988695,0.8,iter_18
11,0.8,0.91839695,0.84,iter_18
12,0.9,0.95589656,0.9,iter_18
13,0.8,0.9421111,0.9,iter_18
14,0.9,0.9615787,0.8600000000000001,iter_18
15,0.9,0.90531147,0.8800000000000001,iter_18
16,0.8,0.8649981,0.82,iter_18
17,0.6,0.77596146,0.4399999999999999,iter_18
18,0.8,0.9589158,0.82,iter_18
19,0.9,0.98377705,0.92,iter_18
20,0.7,0.9761301,0.6599999999999999,iter_18
21,0.8,0.91317326,0.8600000000000001,iter_18
22,0.8,0.92763495,0.84,iter_18
23,0.9,0.913692,0.98,iter_18
24,0.8,0.9356461,0.8,iter_18
25,0.8,0.9416706,0.8800000000000001,iter_18
26,0.9,0.9251673,0.8400000000000001,iter_18
27,0.9,0.9262829,0.92,iter_18
28,0.9,0.95627254,0.96,iter_18
29,0.8,0.9607569,0.8,iter_18
30,0.8,0.88716817,0.7,iter_18
31,0.8,0.93795156,0.8200000000000001,iter_18
32,0.9,0.9537029,0.96,iter_18
33,0.7,0.7488608,0.5599999999999999,iter_18
34,0.8,0.8581104,0.72,iter_18
35,0.8,0.8861309,0.8200000000000001,iter_18
36,0.9,0.97184545,0.94,iter_18
37,0.8,0.9220518,0.86,iter_18
38,0.7,0.9135454,0.6799999999999999,iter_18
39,0.9,0.9578875,0.88,iter_18
40,0.8,0.92908746,0.88,iter_18
41,0.9,0.95158243,0.96,iter_18
42,0.8,0.9684278,0.8,iter_18
43,0.7,0.92395,0.6799999999999999,iter_18
44,0.8,0.97180545,0.88,iter_18
45,0.9,0.9526779,0.8800000000000001,iter_18
