,0
532,0.656
533,0.652
534,0.64
535,0.626
536,0.664
537,0.658
538,0.668
539,0.654
540,0.658
541,0.654
542,0.648
543,0.656
544,0.658
545,0.668
546,0.654
547,0.66
548,0.662
549,0.65
550,0.666
551,0.646
552,0.668
553,0.656
554,0.65
555,0.67
556,0.654
557,0.668
558,0.678
559,0.674
560,0.68
561,0.702
562,0.652
563,0.662
564,0.662
565,0.674
566,0.674
567,0.666
568,0.66
569,0.666
570,0.676
571,0.668
572,0.668
573,0.682
574,0.67
575,0.656
576,0.668
577,0.642
578,0.648
579,0.676
580,0.684
581,0.664
582,0.664
583,0.662
584,0.682
585,0.658
586,0.684
587,0.678
588,0.678
589,0.674
590,0.668
591,0.686
592,0.674
593,0.646
594,0.666
595,0.664
596,0.67
597,0.656
598,0.666
599,0.666
600,0.668
601,0.698
602,0.69
603,0.668
604,0.678
605,0.656
606,0.664
607,0.654
608,0.646
609,0.682
610,0.668
611,0.7
612,0.678
613,0.69
614,0.682
615,0.68
616,0.674
617,0.658
618,0.678
619,0.694
620,0.682
621,0.656
622,0.672
623,0.678
624,0.658
625,0.672
626,0.676
627,0.664
628,0.656
629,0.668
630,0.694
631,0.676
632,0.684
633,0.66
634,0.68
635,0.666
636,0.662
637,0.682
638,0.678
639,0.7
640,0.678
641,0.666
642,0.67
643,0.676
644,0.682
645,0.666
646,0.672
647,0.67
648,0.68
649,0.678
650,0.672
651,0.69
652,0.662
653,0.682
654,0.678
655,0.672
656,0.666
657,0.646
658,0.666
659,0.666
660,0.668
661,0.672
662,0.678
663,0.668
664,0.682
665,0.68
666,0.674
667,0.676
668,0.686
669,0.66
670,0.652
671,0.68
672,0.684
673,0.682
674,0.678
675,0.672
676,0.662
677,0.668
678,0.664
679,0.672
680,0.678
681,0.658
682,0.672
683,0.682
684,0.674
685,0.692
686,0.68
687,0.666
688,0.714
689,0.686
690,0.688
691,0.682
692,0.678
693,0.68
694,0.67
695,0.698
696,0.676
697,0.68
698,0.664
699,0.684
700,0.674
701,0.688
702,0.66
703,0.66
704,0.672
705,0.658
706,0.704
707,0.696
708,0.684
709,0.696
710,0.684
711,0.712
712,0.648
713,0.672
714,0.694
715,0.672
716,0.716
717,0.674
718,0.702
719,0.702
720,0.716
721,0.684
722,0.672
723,0.71
724,0.712
725,0.716
726,0.698
727,0.68
728,0.698
729,0.682
730,0.694
731,0.698
732,0.692
733,0.674
734,0.69
735,0.69
736,0.7
737,0.708
738,0.72
739,0.682
740,0.704
741,0.682
742,0.704
743,0.694
744,0.716
745,0.704
746,0.702
747,0.698
748,0.708
749,0.686
750,0.706
751,0.68
752,0.692
753,0.67
754,0.682
755,0.718
756,0.69
757,0.712
758,0.694
759,0.68
760,0.684
761,0.684
762,0.702
763,0.714
764,0.702
765,0.692
766,0.68
767,0.716
768,0.684
769,0.706
770,0.702
771,0.69
772,0.69
773,0.696
774,0.694
775,0.676
776,0.69
777,0.682
778,0.682
779,0.69
780,0.698
781,0.676
782,0.676
783,0.718
784,0.674
785,0.714
786,0.69
787,0.708
788,0.692
789,0.682
790,0.696
791,0.702
792,0.7
793,0.692
794,0.694
795,0.678
796,0.708
797,0.7
798,0.67
799,0.704
800,0.688
801,0.708
802,0.702
803,0.704
804,0.68
805,0.682
806,0.7
807,0.7
808,0.678
809,0.68
810,0.69
811,0.704
812,0.666
813,0.724
814,0.676
815,0.678
816,0.706
817,0.698
818,0.684
819,0.682
820,0.692
821,0.7
822,0.696
823,0.712
824,0.688
825,0.688
826,0.696
827,0.678
828,0.682
829,0.686
830,0.69
831,0.734
832,0.71
833,0.684
834,0.714
835,0.696
836,0.7
837,0.714
838,0.722
839,0.688
840,0.702
841,0.74
842,0.686
843,0.704
844,0.708
845,0.708
846,0.7
847,0.722
848,0.714
849,0.706
850,0.704
851,0.71
852,0.714
853,0.728
854,0.71
855,0.708
856,0.708
857,0.686
858,0.708
859,0.7
860,0.72
861,0.71
862,0.692
863,0.7
