,accuracy,f1,precision,recall,model
0,0.56,0.5268902573120497,0.5587855436889388,0.579403359979758,iter_18
1,0.854,0.8531167836440352,0.8524864038454396,0.854966102458647,model_full_18
2,0.028,0.0275249998919329,0.028113887141864656,0.030645499798398777,model_empty_18
3,0.688,0.6703076363418852,0.6868680804383323,0.6959085136382076,empty_trained_18
4,0.816,0.8043662882066667,0.8183416147206849,0.8239669625362384,model_full_trained_18
5,0.862,0.8552717753013898,0.8614906292853883,0.879750366126563,empty_trained_replay_18
6,0.872,0.8683838052288257,0.8715126344645328,0.8900630852850802,model_full_trained_replay_18
